track_id,track_name,track_artist,title_and_artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,valence,tempo,duration_ms,time_signature
4DHcnVTT87F0zZhRPYmZ3B,Flowers,Miley Cyrus,flowersmileycyrus,0.707,0.681,-4.325,1,0.0668,0.0632,5.15E-06,0.646,117.999,200455,4
3dnP0JxCgygwQH9Gm7q7nb,Ella Baila Sola,Eslabon Armado,ellabailasolaeslabonarmado,0.668,0.758,-5.176,0,0.0332,0.483,1.89E-05,0.834,147.989,165671,3
1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SZA,killbillsza,0.644,0.735,-5.747,1,0.0391,0.0521,0.144,0.418,88.98,153947,4
0DWdj2oZMBFSzRsi2Cvfzf,TQG,KAROL G,tqgkarolg,0.72,0.63,-3.547,0,0.277,0.673,0,0.607,179.974,199440,4
609E1JCInJncactoMmkDon,BESO,ROSALÍA,besorosalía,0.768,0.644,-6.671,0,0.136,0.736,0.000837,0.53,95.05,194543,4
6AQbmUe0Qwf5PZnt4HmTXv,Boy's a liar Pt. 2,PinkPantheress,boy'saliarpt.2pinkpantheress,0.696,0.809,-8.254,1,0.05,0.252,0.000128,0.857,132.962,131013,4
2UW7JaomAMuX9pZrjVpHAU,La Bebe - Remix,Yng Lvcas,labebe-remixynglvcas,0.812,0.479,-5.678,0,0.333,0.213,1.21E-06,0.559,169.922,234353,4
4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,asitwasharrystyles,0.52,0.731,-5.338,0,0.0557,0.342,0.00101,0.662,173.93,167303,4
4W4fNrZYkobj539TOWsLO2,Die For You (with Ariana Grande) - Remix,The Weeknd,dieforyou(witharianagrande)-remixtheweeknd,0.575,0.5,-7.594,0,0.0707,0.227,0,0.506,67.033,232857,4
69CrOS7vEHIrhC2ILyEi0s,FLOWER,JISOO,flowerjisoo,0.841,0.384,-7.684,0,0.0351,0.0236,2.28E-06,0.597,123.961,173134,4
2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,creepin'(withtheweeknd&21savage)metroboomin,0.715,0.62,-6.005,0,0.0484,0.417,0,0.172,97.95,221520,4
4FAKtPVycI4DxoOHC01YqD,Yandel 150,Yandel,yandel150yandel,0.783,0.729,-3.549,0,0.0691,0.0492,0.000272,0.58,167.968,216148,4
4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,"shakira:bzrpmusicsessions,vol.53bizarrap",0.778,0.632,-5.6,0,0.0493,0.274,0,0.498,122.104,218289,4
0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),Rema,calmdown(withselenagomez)rema,0.801,0.806,-5.206,1,0.0381,0.382,0.000669,0.802,106.999,239318,4
3Ua0m0YmEjrMi9XErKcNiR,Like Crazy,Jimin,likecrazyjimin,0.629,0.733,-5.445,1,0.0419,0.0025,0,0.362,120.001,212241,4
7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,FIFTY FIFTY,cupid-twinver.fiftyfifty,0.783,0.592,-8.332,0,0.0331,0.435,4.15E-06,0.726,120.018,174253,4
2mpoNBkngUEwnaKoBhZ0vl,PRC,Peso Pluma,prcpesopluma,0.784,0.826,-6.34,0,0.0538,0.0965,7.09E-05,0.893,138.078,184066,3
1lRtH4FszTrwwlK5gTSbXO,AMG,Natanael Cano,amgnatanaelcano,0.772,0.73,-6.657,0,0.0972,0.152,0.000107,0.786,136.175,174943,3
0V3wPSX9ygBnCm8psDIegu,Anti-Hero,Taylor Swift,anti-herotaylorswift,0.637,0.643,-6.571,1,0.0519,0.13,1.80E-06,0.533,97.008,200690,4
2LBqCSwhJGcFQeTHMVGwy3,Die For You,The Weeknd,dieforyoutheweeknd,0.586,0.525,-7.163,0,0.0615,0.111,0,0.508,133.629,260253,4
0NZPBYD5qbEWRs3PrGiRkT,Unholy (feat. Kim Petras),Sam Smith,unholy(feat.kimpetras)samsmith,0.712,0.463,-7.399,1,0.0797,0.011,2.96E-06,0.206,131.199,156943,4
0u8rZGtXJrLtiSe34FPjGG,Like Crazy (English Version),Jimin,likecrazy(englishversion)jimin,0.623,0.755,-5.386,1,0.0415,0.00306,0,0.32,119.957,212254,4
7K3BhSpAxZBznislvUMVtn,Last Night,Morgan Wallen,lastnightmorganwallen,0.492,0.675,-5.456,1,0.0389,0.467,0,0.478,203.759,163855,4
3tt9i3Hhzq84dPS8H7iSiJ,La Bachata,Manuel Turizo,labachatamanuelturizo,0.835,0.679,-5.329,0,0.0364,0.583,1.98E-06,0.85,124.98,162638,4
78Sw5GDo6AlGwTwanjXbGh,Here With Me,d4vd,herewithmed4vd,0.574,0.469,-8.209,1,0.0254,0.534,9.21E-05,0.288,132.023,242485,4
